name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Pa. Craft Show Listings and Crafter Showcase,1324593,Pittsburgh,40.5,-80.07,Career & Business,2008-11-19 17:37:43,active,280,open,46,2017-11-24 11:00:00,2
Oneness Spirit Fair,1640449,Pittsburgh,40.5,-80.07,New Age & Spirituality,2010-05-04 11:46:24,active,1263,open,166,2017-07-08 17:00:00,1
Pittsburgh Mortgage Professionals Meetup,21935730,Pittsburgh,40.5,-80.07,Career & Business,2017-01-15 19:15:02,active,13,open,1,2017-02-10 18:30:00,3
Pittsburgh Writers on Writing Meetup,18629323,Pittsburgh,40.52,-80.04,Writing,2015-05-27 11:21:36,active,265,open,2,2016-09-15 19:00:00,1
Monroeville Alternative Health & Wellness Providers Meetup,19466259,Monroeville,40.43,-79.76,Health & Wellbeing,2016-01-30 10:37:24,active,69,approval,4,2017-02-04 13:00:00,0
Monroeville Classic Films Meetup,25705881,Monroeville,40.43,-79.76,Movies & Film,2017-08-30 12:31:12,active,124,open,23,2017-12-13 20:00:00,1
Movie Trivia Games Meetup,18403808,Monroeville,40.43,-79.76,Games,2015-02-01 19:16:16,active,337,open,3,2015-08-15 19:00:00,13
Boss Ladies Pittsburgh East,21986686,Monroeville,40.43,-79.76,Career & Business,2017-01-19 07:57:10,active,50,approval,5,2017-08-21 19:00:00,3
Eastern Suburbs Social Group,2875042,Monroeville,40.43,-79.76,Socializing,2011-11-28 14:10:22,active,393,approval,321,2017-12-27 20:00:00,1
Essentials for the New Age,12893402,Monroeville,40.43,-79.76,Health & Wellbeing,2014-02-15 13:25:54,active,60,approval,48,2017-10-06 19:00:00,2
East Suburbs Soul Inspiration,20206845,Monroeville,40.43,-79.76,New Age & Spirituality,2016-07-20 18:50:40,active,136,open,14,2017-08-26 16:00:00,4
South Hills Meditation and Healing Meetup,23867528,Eighty Four,40.18,-80.09,New Age & Spirituality,2017-05-19 09:09:32,active,47,open,9,2018-01-08 19:00:00,1
Eighty Four Meditation Meetup,23867292,Eighty Four,40.18,-80.09,New Age & Spirituality,2017-05-19 08:53:31,active,38,open,8,2018-01-08 19:00:00,1
Pittsburgh Pizza Parade,4729692,Pittsburgh,40.53,-79.88,Food & Drink,2012-09-01 23:07:42,active,1920,open,93,2017-10-10 17:30:00,7
Mindful Irwin,24749111,Irwin,40.33,-79.72,Health & Wellbeing,2017-06-29 12:27:12,active,76,open,0,,0
Allegheny City (North Side) and Pittsburgh History Meetup,19743786,Pittsburgh,40.55,-80.04,Arts & Culture,2016-03-22 09:30:46,active,149,approval,28,2017-11-12 13:00:00,5
"Exercise , Paranormal Investigations, Camping , Swimming",26493648,Pittsburgh,40.55,-80.04,Fitness,2017-11-04 13:03:08,active,112,open,1,2017-11-15 12:00:00,1
Pittsburgh Asian Dance Meetup,26487964,Pittsburgh,40.55,-80.04,Language & Ethnic Identity,2017-11-03 22:07:17,active,50,open,4,2017-12-31 18:30:00,6
